,Book#,Book_Title,Description,Genres
45,46,"The Courage To Be Disliked: How to free yourself, change your life and achieve real happiness","The Courage to Be Disliked, already an enormous bestseller in Asia with more than 3.5 million copies sold, demonstrates how to unlock the power within yourself to be the person you truly want to be.Is happiness something you choose for yourself? The Courage to Be Disliked presents a simple and straightforward answer. Using the theories of Alfred Adler, one of the three giaThe Courage to Be Disliked, already an enormous bestseller in Asia with more than 3.5 million copies sold, demonstrates how to unlock the power within yourself to be the person you truly want to be.Is happiness something you choose for yourself? The Courage to Be Disliked presents a simple and straightforward answer. Using the theories of Alfred Adler, one of the three giants of nineteenth-century psychology alongside Freud and Jung, this book follows an illuminating dialogue between a philosopher and a young man. Over the course of five conversations, the philosopher helps his student to understand how each of us is able to determine the direction of our own life, free from the shackles of past traumas and the expectations of others.Rich in wisdom, The Courage to Be Disliked will guide you through the concepts of self-forgiveness, self-care, and mind decluttering. It is a deeply liberating way of thinking, allowing you to develop the courage to change and ignore the limitations that you might be placing on yourself. This plainspoken and profoundly moving book unlocks the power within you to find lasting happiness and be the person you truly want to be. Millions have already benefited from its teachings, now you can too.","['nonfiction', 'psychology', 'philosophy', 'selfhelp', 'personaldevelopment', 'leadership', 'mentalhealth', 'audiobook', 'japaneseliterature', 'spirituality']"
46,47,"The formula: The universal Laws
of success","In this pioneering examination of the scientific principles behind success, a leading researcher reveals the surprising ways in which we can turn achievement into success.Too often, accomplishment does not equate to success. We did the work but didn't get the promotion; we played hard but weren't recognized; we had the idea but didn't get the credit. We've always been toldIn this pioneering examination of the scientific principles behind success, a leading researcher reveals the surprising ways in which we can turn achievement into success.Too often, accomplishment does not equate to success. We did the work but didn't get the promotion; we played hard but weren't recognized; we had the idea but didn't get the credit. We've always been told that talent and a strong work ethic are the key to getting ahead, but in today's world these efforts rarely translate into tangible results. Recognizing this disconnect, Laszlo Barabasi, one of the world's leading experts on the science of networks, uncovers what success really is: a collective phenomenon based on the thoughts and praise of those around you.  In The Formula, Barabasi highlights the vital importance of community respect and appreciation when connecting performance to recognition--the elusive link between performance and success. By leveraging the power of big data and historic case studies, Barabasi reveals the unspoken rules behind who truly gets ahead and why, and outlines the twelve laws that govern this phenomenon and how we can use them to our own advantage. Unveiling the scientific principles that drive success, this trailblazing book offers a new understanding of the very foundation of how people excel in today's society.","['nonfiction', 'business', 'selfhelp', 'psychology', 'personaldevelopment', 'science', 'entrepreneurship']"
47,48,"you can do anything the surprising power
of a useless liberal arts education","In a tech-dominated world, the most needed degrees are the most surprising: the liberal arts Did you take the right classes in college? Will your major help you get the right job offers? For more than a decade, the national spotlight has focused on science and engineering as the only reliable choice for finding a successful post-grad career. Our destinies have been reducedIn a tech-dominated world, the most needed degrees are the most surprising: the liberal arts Did you take the right classes in college? Will your major help you get the right job offers? For more than a decade, the national spotlight has focused on science and engineering as the only reliable choice for finding a successful post-grad career. Our destinies have been reduced to a caricature: learn to write computer code or end up behind a counter, pouring coffee. Quietly, though, a different path to success has been taking shape. In YOU CAN DO ANYTHING, George Anders explains the remarkable power of a liberal arts education - and the ways it can open the door to thousands of cutting-edge jobs every week.The key insight: curiosity, creativity, and empathy aren't unruly traits that must be reined in. You can be yourself, as an English major, and thrive in sales. You can segue from anthropology into the booming new field of user research; from classics into management consulting, and from philosophy into high-stakes investing. At any stage of your career, you can bring a humanist's grace to our rapidly evolving high-tech future. And if you know how to attack the job market, your opportunities will be vast.In this book, you will learn why resume-writing is fading in importance and why ""telling your story"" is taking its place. You will learn how to create jobs that don't exist yet, and to translate your campus achievements into a new style of expression that will make employers' eyes light up. You will discover why people who start in eccentric first jobs - and then make their own luck - so often race ahead of peers whose post-college hunt focuses only on security and starting pay. You will be ready for anything. ","['education', 'nonfiction', 'selfhelp', 'business']"
48,49,"Stealing Fire: How Silicon Valley, the Navy SEALs, and Maverick Scientists Are Revolutionizing the Way We Live and Work","NATIONAL BESTSELLER CNBC and Strategy + Business Best Business Book of 2017It’s the biggest revolution you’ve never heard of, and it’s hiding in plain sight. Over the past decade, Silicon Valley executives like Eric Schmidt and Elon Musk, Special Operators like the Navy SEALs and the Green Berets, and maverick scientists like Sasha Shulgin and Amy Cuddy have turned everythNATIONAL BESTSELLER CNBC and Strategy + Business Best Business Book of 2017It’s the biggest revolution you’ve never heard of, and it’s hiding in plain sight. Over the past decade, Silicon Valley executives like Eric Schmidt and Elon Musk, Special Operators like the Navy SEALs and the Green Berets, and maverick scientists like Sasha Shulgin and Amy Cuddy have turned everything we thought we knew about high performance upside down. Instead of grit, better habits, or 10,000 hours, these trailblazers have found a surprising short cut. They're harnessing rare and controversial states of consciousness to solve critical challenges and outperform the competition.New York Times bestselling author Steven Kotler and high performance expert Jamie Wheal spent four years investigating the leading edges of this revolution—from the home of SEAL Team Six to the Googleplex, the Burning Man festival, Richard Branson’s Necker Island, Red Bull’s training center, Nike’s innovation team, and the United Nations’ Headquarters. And what they learned was stunning: In their own ways, with differing languages, techniques, and applications, every one of these groups has been quietly seeking the same thing: the boost in information and inspiration that altered states provide.Today, this revolution is spreading to the mainstream, fueling a trillion dollar underground economy and forcing us to rethink how we can all lead richer, more productive, more satisfying lives. Driven by four accelerating forces—psychology, neurobiology, technology and pharmacology—we are gaining access to and insights about some of the most contested and misunderstood terrain in history. Stealing Fire is a provocative examination of what’s actually possible; a guidebook for anyone who wants to radically upgrade their life.","['nonfiction', 'psychology', 'business', 'selfhelp', 'science', 'personaldevelopment', 'audiobook', 'productivity', 'leadership', 'technology']"
49,50,astrophysics for people in a hurry,"What is the nature of space and time? How do we fit within the universe? How does the universe fit within us? There’s no better guide through these mind-expanding questions than acclaimed astrophysicist and best-selling author Neil deGrasse Tyson.But today, few of us have time to contemplate the cosmos. So Tyson brings the universe down to Earth succinctly and clearly, witWhat is the nature of space and time? How do we fit within the universe? How does the universe fit within us? There’s no better guide through these mind-expanding questions than acclaimed astrophysicist and best-selling author Neil deGrasse Tyson.But today, few of us have time to contemplate the cosmos. So Tyson brings the universe down to Earth succinctly and clearly, with sparkling wit, in tasty chapters consumable anytime and anywhere in your busy day.","['nonfiction', 'science', 'audiobook', 'physics']"
50,51,Success and Luck: Good Fortune and the Myth of Meritocracy,"From New York Times bestselling author and economics columnist Robert Frank, a compelling book that explains why the rich underestimate the importance of luck in their success, why that hurts everyone, and what we can do about itHow important is luck in economic success? No question more reliably divides conservatives from liberals. As conservatives correctly observe, peopFrom New York Times bestselling author and economics columnist Robert Frank, a compelling book that explains why the rich underestimate the importance of luck in their success, why that hurts everyone, and what we can do about itHow important is luck in economic success? No question more reliably divides conservatives from liberals. As conservatives correctly observe, people who amass great fortunes are almost always talented and hardworking. But liberals are also correct to note that countless others have those same qualities yet never earn much. In recent years, social scientists have discovered that chance plays a much larger role in important life outcomes than most people imagine. In Success and Luck, bestselling author and New York Times economics columnist Robert Frank explores the surprising implications of those findings to show why the rich underestimate the importance of luck in success--and why that hurts everyone, even the wealthy.Frank describes how, in a world increasingly dominated by winner-take-all markets, chance opportunities and trivial initial advantages often translate into much larger ones--and enormous income differences--over time; how false beliefs about luck persist, despite compelling evidence against them; and how myths about personal success and luck shape individual and political choices in harmful ways.But, Frank argues, we could decrease the inequality driven by sheer luck by adopting simple, unintrusive policies that would free up trillions of dollars each year--more than enough to fix our crumbling infrastructure, expand healthcare coverage, fight global warming, and reduce poverty, all without requiring painful sacrifices from anyone. If this sounds implausible, you'll be surprised to discover that the solution requires only a few, noncontroversial steps.Compellingly readable, Success and Luck shows how a more accurate understanding of the role of chance in life could lead to better, richer, and fairer economies and societies.","['economics', 'nonfiction', 'politics', 'psychology', 'business', 'philosophy', 'sociology']"
51,52,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers","The latest groundbreaking tome from Tim Ferriss, the #1 New York Times best-selling author of The 4-Hour Workweek.  From the author:   “For the last two years, I’ve interviewed more than 200 world-class performers for my podcast, The Tim Ferriss Show. The guests range from super celebs (Jamie Foxx, Arnold Schwarzenegger, etc.) and athletes (icons of powerlifting, gymnasticThe latest groundbreaking tome from Tim Ferriss, the #1 New York Times best-selling author of The 4-Hour Workweek.  From the author:   “For the last two years, I’ve interviewed more than 200 world-class performers for my podcast, The Tim Ferriss Show. The guests range from super celebs (Jamie Foxx, Arnold Schwarzenegger, etc.) and athletes (icons of powerlifting, gymnastics, surfing, etc.) to legendary Special Operations commanders and black-market biochemists. For most of my guests, it’s the first time they’ve agreed to a two-to-three-hour interview. This unusual depth has helped make The Tim Ferriss Show the first business/interview podcast to pass 100 million downloads.   “This book contains the distilled tools, tactics, and ‘inside baseball’ you won’t find anywhere else. It also includes new tips from past guests, and life lessons from new ‘guests’ you haven’t met.   “What makes the show different is a relentless focus on actionable details. This is reflected in the questions. For example: What do these people do in the first sixty minutes of each morning? What do their workout routines look like, and why? What books have they gifted most to other people? What are the biggest wastes of time for novices in their field? What supplements do they take on a daily basis?   “I don’t view myself as an interviewer. I view myself as an experimenter. If I can’t test something and replicate results in the messy reality of everyday life, I’m not interested.   “Everything within these pages has been vetted, explored, and applied to my own life in some fashion. I’ve used dozens of the tactics and philosophies in high-stakes negotiations, high-risk environments, or large business dealings. The lessons have made me millions of dollars and saved me years of wasted effort and frustration.   “I created this book, my ultimate notebook of high-leverage tools, for myself. It’s changed my life, and I hope the same for you.”","['business', 'nonfiction', 'selfhelp', 'personaldevelopment', 'productivity']"
52,53,Popular: The Power of Likability in a Status-Obsessed World,"A leading psychologist examines how our popularity affects our success, our relationships, and our happiness—and why we don’t always want to be the most popularNo matter how old you are, there’s a good chance that the word “popular” immediately transports you back to your teenage years. Most of us can easily recall the adolescent social cliques, the high school pecking ordA leading psychologist examines how our popularity affects our success, our relationships, and our happiness—and why we don’t always want to be the most popularNo matter how old you are, there’s a good chance that the word “popular” immediately transports you back to your teenage years. Most of us can easily recall the adolescent social cliques, the high school pecking order, and which of our peers stood out as the most or the least popular teens we knew. Even as adults we all still remember exactly where we stood in the high school social hierarchy, and the powerful emotions associated with our status persist decades later. This may be for good reason.Popular examines why popularity plays such a key role in our development and, ultimately, how it still influences our happiness and success today. In many ways—some even beyond our conscious awareness—those old dynamics of our youth continue to play out in every business meeting, every social gathering, in our personal relationships, and even how we raise our children. Our popularity even affects our DNA, our health, and our mortality in fascinating ways we never previously realized. More than childhood intelligence, family background, or prior psychological issues, research indicates that it’s how popular we were in our early years that predicts how successful and how happy we grow up to be.But it’s not always the conventionally popular people who fare the best, for the simple reason that there is more than one type of popularity—and many of us still long for the wrong one. As children, we strive to be likable, which can offer real benefits not only on the playground but throughout our lives. In adolescence, though, a new form of popularity emerges, and we suddenly begin to care about status, power, influence, and notoriety—research indicates that this type of popularity hurts us more than we realize.Realistically, we can’t ignore our natural human social impulses to be included and well-regarded by others, but we can learn how to manage those impulses in beneficial and gratifying ways. Popular relies on the latest research in psychology and neuroscience to help us make the wisest choices for ourselves and for our children, so we may all pursue more meaningful, satisfying, and rewarding relationships.","['nonfiction', 'psychology', 'selfhelp', 'audiobook', 'relationships', 'socialscience']"
53,54,Barking Up the Wrong Tree: The Surprising Science Behind Why Everything You Know About Success Is (Mostly) Wrong,"Much of the advice we’ve been told about achievement is logical, earnest…and downright wrong. In Barking Up the Wrong Tree, Eric Barker reveals the extraordinary science behind what actually determines success and most importantly, how anyone can achieve it. You’ll learn:• Why valedictorians rarely become millionaires, and how your biggest weakness might actually be your gMuch of the advice we’ve been told about achievement is logical, earnest…and downright wrong. In Barking Up the Wrong Tree, Eric Barker reveals the extraordinary science behind what actually determines success and most importantly, how anyone can achieve it. You’ll learn:• Why valedictorians rarely become millionaires, and how your biggest weakness might actually be your greatest strength • Whether nice guys finish last and why the best lessons about cooperation come from gang members, pirates, and serial killers• Why trying to increase confidence fails and how Buddhist philosophy holds a superior solution• The secret ingredient to “grit” that Navy SEALs and disaster survivors leverage to keep going• How to find work-life balance using the strategy of Genghis Khan, the errors of Albert Einstein, and a little lesson from Spider-ManBy looking at what separates the extremely successful from the rest of us, we learn what we can do to be more like them—and find out in some cases why it’s good that we aren’t. Barking Up the Wrong Tree draws on startling statistics and surprising anecdotes to help you understand what works and what doesn’t so you can stop guessing at success and start living the life you want.","['nonfiction', 'psychology', 'selfhelp', 'business', 'science', 'personaldevelopment']"
54,55,Stretch: Unlock the Power of Less -and Achieve More Than You Ever Imagined,"We often think the key to success and satisfaction is to get more: more money, time and possessions; bigger budgets, job titles and teams; and additional resources for our professional and personal goals. It turns out we’re wrong.Using captivating stories to illustrate research in psychology and management, Rice University professor Scott Sonenshein examines why some peoplWe often think the key to success and satisfaction is to get more: more money, time and possessions; bigger budgets, job titles and teams; and additional resources for our professional and personal goals. It turns out we’re wrong.Using captivating stories to illustrate research in psychology and management, Rice University professor Scott Sonenshein examines why some people and organizations succeed with so little while others fail with so much.People and organizations approach resources in two different ways: “chasing” and “stretching.” When chasing, we exhaust ourselves in the pursuit of more. When stretching, we embrace the resources we already have. This frees us to find creative and productive ways to solve problems, innovate, and engage our work and lives more fully.STRETCH shows why everyone from executives to entrepreneurs, professionals to parents, and athletes to artists perform better with constraints; why seeking too many resources undermines our work and well-being; and why even those with a lot benefit from making the most out of a little.Drawing from examples in business, education, sports, medicine, and history, Sonenshein teaches a powerful framework of resourcefulness that allows anybody to work and live better.","['nonfiction', 'business', 'selfhelp', 'psychology', 'personaldevelopment']"
55,56,"Option B: Facing Adversity, Building Resilience, and Finding Joy","From Facebook's COO and Wharton's top-rated professor, the #1 New York Times best-selling authors of Lean In and Originals:  a powerful, inspiring, and practical book about building resilience and moving forward after life's inevitable setbacks.After the sudden death of her husband, Sheryl Sandberg felt certain that she and her children would never feel pure joy again. ""IFrom Facebook's COO and Wharton's top-rated professor, the #1 New York Times best-selling authors of Lean In and Originals:  a powerful, inspiring, and practical book about building resilience and moving forward after life's inevitable setbacks.After the sudden death of her husband, Sheryl Sandberg felt certain that she and her children would never feel pure joy again. ""I was in 'the void, '"" she writes, ""a vast emptiness that fills your heart and lungs and restricts your ability to think or even breathe."" Her friend Adam Grant, a psychologist at Wharton, told her there are concrete steps people can take to recover and rebound from life-shattering experiences. We are not born with a fixed amount of resilience. It is a muscle that everyone can build.  Option B combines Sheryl's personal insights with Adam's eye-opening research on finding strength in the face of adversity. Beginning with the gut-wrenching moment when she finds her husband, Dave Goldberg, collapsed on a gym floor, Sheryl opens up her heart--and her journal--to describe the acute grief and isolation she felt in the wake of his death. But Option B goes beyond Sheryl's loss to explore how a broad range of people have overcome hardships including illness, job loss, sexual assault, natural disasters, and the violence of war. Their stories reveal the capacity of the human spirit to persevere . . . and to rediscover joy. Resilience comes from deep within us and from support outside us. Even after the most devastating events, it is possible to grow by finding deeper meaning and gaining greater appreciation in our lives. Option B illuminates how to help others in crisis, develop compassion for ourselves, raise strong children, and create resilient families, communities, and workplaces. Many of these lessons can be applied to everyday struggles, allowing us to brave whatever lies ahead. Two weeks after losing her husband, Sheryl was preparing for a father-child activity. ""I want Dave,"" she cried. Her friend replied, ""Option A is not available,"" and then promised to help her make the most of Option B. We all live some form of Option B. This book will help us all make the most of it.","['nonfiction', 'selfhelp', 'psychology', 'memoir', 'business', 'audiobook']"
56,57,"The Telomere Effect: A Revolutionary Approach to Living Younger, Healthier, Longer","The New York Times bestselling book coauthored by the Nobel Prize winner who discovered telomerase and telomeres' role in the aging process and the health psychologist who has done original research into how specific lifestyle and psychological habits can protect telomeres, slowing disease and improving life.Have you wondered why some sixty-year-olds look and feel like forThe New York Times bestselling book coauthored by the Nobel Prize winner who discovered telomerase and telomeres' role in the aging process and the health psychologist who has done original research into how specific lifestyle and psychological habits can protect telomeres, slowing disease and improving life.Have you wondered why some sixty-year-olds look and feel like forty-year-olds and why some forty-year-olds look and feel like sixty-year-olds? While many factors contribute to aging and illness, Dr. Elizabeth Blackburn discovered a biological indicator called telomerase, the enzyme that replenishes telomeres, which protect our genetic heritage. Dr. Blackburn and Dr. Elissa Epel's research shows that the length and health of one's telomeres are a biological underpinning of the long-hypothesized mind-body connection. They and other scientists have found that changes we can make to our daily habits can protect our telomeres and increase our health spans (the number of years we remain healthy, active, and disease-free).THE TELOMERE EFFECT reveals how Blackburn and Epel's findings, together with research from colleagues around the world, cumulatively show that sleep quality, exercise, aspects of diet, and even certain chemicals profoundly affect our telomeres, and that chronic stress, negative thoughts, strained relationships, and even the wrong neighborhoods can eat away at them. Drawing from this scientific body of knowledge, they share lists of foods and suggest amounts and types of exercise that are healthy for our telomeres, mind tricks you can use to protect yourself from stress, and information about how to protect your children against developing shorter telomeres, from pregnancy through adolescence. And they describe how we can improve our health spans at the community level, with neighborhoods characterized by trust, green spaces, and safe streets. THE TELOMERE EFFECT will make you reassess how you live your life on a day-to-day basis. It is the first book to explain how we age at a cellular level and how we can make simple changes to keep our chromosomes and cells healthy, allowing us to stay disease-free longer and live more vital and meaningful lives. ","['nonfiction', 'science', 'health', 'selfhelp', 'biology', 'psychology']"
57,58,The Complacent Class: The Self-Defeating Quest for the American Dream,"Since Alexis de Tocqueville, restlessness has been accepted as a signature American trait. Our willingness to move, take risks, and adapt to change have produced a dynamic economy and a tradition of innovation from Ben Franklin to Steve Jobs.The problem, according to legendary blogger, economist and bestelling author Tyler Cowen, is that Americans today have broken from thSince Alexis de Tocqueville, restlessness has been accepted as a signature American trait. Our willingness to move, take risks, and adapt to change have produced a dynamic economy and a tradition of innovation from Ben Franklin to Steve Jobs.The problem, according to legendary blogger, economist and bestelling author Tyler Cowen, is that Americans today have broken from this tradition—we’re working harder than ever to avoid change. We're moving residences less, marrying people more like ourselves and choosing our music and our mates based on algorithms that wall us off from anything that might be too new or too different. Match.com matches us in love. Spotify and Pandora match us in music. Facebook matches us to just about everything else.Of course, this “matching culture” brings tremendous positives: music we like, partners who make us happy, neighbors who want the same things. We’re more comfortable. But, according to Cowen, there are significant collateral downsides attending this comfort, among them heightened inequality and segregation and decreased incentives to innovate and create.The Great Social Stagnation argues that this cannot go on forever. We are postponing change, due to our near-sightedness and extreme desire for comfort, but ultimately this will make change, when it comes, harder. The forces unleashed by the Great Stagnation will eventually lead to a major fiscal and budgetary crisis: impossibly expensive rentals for our most attractive cities, worsening of residential segregation, and a decline in our work ethic. The only way to avoid this difficult future is for Americans to force themselves out of their comfortable slumber—to embrace their restless tradition again.","['economics', 'nonfiction', 'politics', 'sociology', 'history', 'society']"
58,59,Sapiens: A Brief History of Humankind,"100,000 years ago, at least six human species inhabited the earth. Today there is just one. Us. Homo sapiens. How did our species succeed in the battle for dominance? Why did our foraging ancestors come together to create cities and kingdoms? How did we come to believe in gods, nations and human rights; to trust money, books and laws; and to be enslaved by bureaucracy, tim100,000 years ago, at least six human species inhabited the earth. Today there is just one. Us. Homo sapiens. How did our species succeed in the battle for dominance? Why did our foraging ancestors come together to create cities and kingdoms? How did we come to believe in gods, nations and human rights; to trust money, books and laws; and to be enslaved by bureaucracy, timetables and consumerism? And what will our world be like in the millennia to come? In Sapiens, Dr Yuval Noah Harari spans the whole of human history, from the very first humans to walk the earth to the radical – and sometimes devastating – breakthroughs of the Cognitive, Agricultural and Scientific Revolutions. Drawing on insights from biology, anthropology, paleontology and economics, he explores how the currents of history have shaped our human societies, the animals and plants around us, and even our personalities. Have we become happier as history has unfolded? Can we ever free our behaviour from the heritage of our ancestors? And what, if anything, can we do to influence the course of the centuries to come? Bold, wide-ranging and provocative, Sapiens challenges everything we thought we knew about being human: our thoughts, our actions, our power ... and our future.","['nonfiction', 'history', 'science', 'anthropology', 'philosophy']"
59,60,Artificial Unintelligence: How Computers Misunderstand the World," A guide to understanding the inner workings and outer limits of technology and why we should never assume that computers always get it right. In Artificial Unintelligence, Meredith Broussard argues that our collective enthusiasm for applying computer technology to every aspect of life has resulted in a tremendous amount of poorly designed systems. We are so eager to do evA guide to understanding the inner workings and outer limits of technology and why we should never assume that computers always get it right.In Artificial Unintelligence, Meredith Broussard argues that our collective enthusiasm for applying computer technology to every aspect of life has resulted in a tremendous amount of poorly designed systems. We are so eager to do everything digitally—hiring, driving, paying bills, even choosing romantic partners—that we have stopped demanding that our technology actually work. Broussard, a software developer and journalist, reminds us that there are fundamental limits to what we can (and should) do with technology. With this book, she offers a guide to understanding the inner workings and outer limits of technology—and issues a warning that we should never assume that computers always get things right.Making a case against technochauvinism—the belief that technology is always the solution—Broussard argues that it's just not true that social problems would inevitably retreat before a digitally enabled Utopia. To prove her point, she undertakes a series of adventures in computer programming. She goes for an alarming ride in a driverless car, concluding “the cyborg future is not coming any time soon”; uses artificial intelligence to investigate why students can't pass standardized tests; deploys machine learning to predict which passengers survived the Titanic disaster; and attempts to repair the U.S. campaign finance system by building AI software. If we understand the limits of what we can do with technology, Broussard tells us, we can make better choices about what we should do with it to make the world better for everyone.","['technology', 'nonfiction', 'artificialintelligence', 'business']"
60,61,The Book of Why: The New Science of Cause and Effect,"A Turing Award-winning computer scientist and statistician shows how understanding causality has revolutionized science and will revolutionize artificial intelligence ""Correlation is not causation."" This mantra, chanted by scientists for more than a century, has led to a virtual prohibition on causal talk. Today, that taboo is dead. The causal revolution, instigated by JudA Turing Award-winning computer scientist and statistician shows how understanding causality has revolutionized science and will revolutionize artificial intelligence""Correlation is not causation."" This mantra, chanted by scientists for more than a century, has led to a virtual prohibition on causal talk. Today, that taboo is dead. The causal revolution, instigated by Judea Pearl and his colleagues, has cut through a century of confusion and established causality--the study of cause and effect--on a firm scientific basis. His work explains how we can know easy things, like whether it was rain or a sprinkler that made a sidewalk wet; and how to answer hard questions, like whether a drug cured an illness. Pearl's work enables us to know not just whether one thing causes another: it lets us explore the world that is and the worlds that could have been. It shows us the essence of human thought and key to artificial intelligence. Anyone who wants to understand either needs The Book of Why.","['science', 'nonfiction', 'philosophy', 'artificialintelligence', 'computerscience']"
